id,fecha,centro_atencion_turistica,barrio,comuna,pasajeros,pais_residencia_si_extranjero,otro_pais_residencia_si_extranjero,provincia_residencia_si_argentino,pernoctaciones,medio_transporte_llegada,alojamiento,otro_alojamiento,barrio,otro_barrio,primera_vez,motivo_viaje,otro_motivo_viaje,motivo_consulta,otro_motivo_consulta
78,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,2,Venezuela,,,7,Avión,Hotel,,Retiro,,Sí,,,Mapas Orientacion barrios,
79,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,2,Reino Unido,,,2,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion info_uru,
80,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,Venezuela,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
81,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Reino Unido,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
82,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,,,Provincia de Buenos Aires,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion agencias,
83,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
84,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,2,Países Bajos,,,3,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion museos parques,
85,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
86,2017-01-02,aeroparque2,PALERMO,COMUNA 14,2,,,Chubut,5,No especifica,,,,,No especifica,No especifica,,Orientacion,
87,2017-01-02,aeroparque2,PALERMO,COMUNA 14,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
88,2017-01-02,aeroparque2,PALERMO,COMUNA 14,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
89,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,Uruguay,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas,
90,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Italia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
91,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
92,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
93,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,3,,,Corrientes,7,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
94,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
95,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Colombia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus Mapas Orientacion bancos,
96,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,3,Brasil,,,,Avión,No pernocta en Buenos Aires,,,,Sí,,,Bus Mapas Orientacion,
